ID Заказа,Дата покупки,Дата доставки,Тип доставки,ID Клиента,Имя Клиента,Сегмент,Страна,Город,Штат,Почтовый код,Регион,Сумма,Кол-во,Скидка,Прибыль
CA-2017-152156,11/8/2017,11/11/2017,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,"993,9",5,0,"261,4956"
CA-2017-138688,6/12/2017,6/16/2017,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,"14,62",2,0,"6,8714"
US-2016-108966,10/11/2016,10/18/2016,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,"979,9455",7,"0,65","-380,5146"
CA-2015-115812,6/9/2015,6/14/2015,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,"3714,304",38,"0,8","300,7687"
CA-2018-114412,4/15/2018,4/20/2018,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,"15,552",3,"0,2","5,4432"
CA-2017-161389,12/5/2017,12/10/2017,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,"407,976",3,"0,2","132,5922"
US-2016-118983,11/22/2016,11/26/2016,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,"71,354",8,"1,6","-127,674"
CA-2015-105893,11/11/2015,11/18/2015,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,"665,88",6,0,"13,3176"
CA-2015-167164,5/13/2015,5/15/2015,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,"55,5",2,0,"9,99"
CA-2015-143336,8/27/2015,9/1/2015,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,"244,76",9,"0,4","25,8774"
CA-2017-137330,12/9/2017,12/13/2017,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,"79,8",14,0,"20,748"
US-2018-156909,7/16/2018,7/18/2018,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,"71,372",2,"0,3","-1,0196"
CA-2016-106320,9/25/2016,9/30/2016,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,"1044,63",3,0,"240,2649"
CA-2017-121755,1/16/2017,1/20/2017,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,"102,218",5,"0,2","15,9965"
US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,"3329,434",28,"2,7","-1647,9386"
CA-2018-107727,10/19/2018,10/23/2018,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,"29,472",3,"0,2","9,9468"
CA-2017-117590,12/8/2017,12/10/2017,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,"1288,464",12,"0,8","-24,4893"
